DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULF_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_truncated,DEFAULT_Truncated_Version,DEFAULT_Truncated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls
2,300,2,0,50000.0,1,800000.0,99999,20,100,50,2,300,6,0.5,5,-10,TR1,0.19,1,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Maze_number,Uhrzeit
207,kein_Terminated,Zeit abgelaufen,0.32,430,-18906.0,21,20250407-012257
208,kein_Terminated,Zeit abgelaufen,0.2,460,-21294.0,21,20250407-012316
209,kein_Terminated,Zeit abgelaufen,0.23,36,-1010.0,21,20250407-012335
210,kein_Terminated,Zeit abgelaufen,0.32,90,-1870.0,21,20250407-012354
211,kein_Terminated,Zeit abgelaufen,0.4,168,-5766.0,21,20250407-012413
212,kein_Terminated,Zeit abgelaufen,0.4,108,-3742.0,21,20250407-012432
213,kein_Terminated,Zeit abgelaufen,0.42,98,-2078.0,21,20250407-012451
214,kein_Terminated,Zeit abgelaufen,0.1,579,-26840.0,21,20250407-012510
215,kein_Terminated,Zeit abgelaufen,0.2,504,-23116.0,21,20250407-012530
216,kein_Terminated,Zeit abgelaufen,0.33,214,-8242.0,21,20250407-012549
217,kein_Terminated,Zeit abgelaufen,0.18,404,-18158.0,21,20250407-012608
218,kein_Terminated,Zeit abgelaufen,0.19,409,-18674.0,21,20250407-012627
219,kein_Terminated,Zeit abgelaufen,0.36,325,-13174.0,21,20250407-012646
220,kein_Terminated,Zeit abgelaufen,0.53,166,-6278.0,21,20250407-012705
221,kein_Terminated,Zeit abgelaufen,0.36,175,-5926.0,21,20250407-012724
222,kein_Terminated,Zeit abgelaufen,0.35,117,-3840.0,21,20250407-012742
223,kein_Terminated,Zeit abgelaufen,0.3,161,-7442.0,21,20250407-012801
224,kein_Terminated,Zeit abgelaufen,0.17,61,-1732.0,21,20250407-012820
225,kein_Terminated,Zeit abgelaufen,0.39,60,-250.0,21,20250407-012839
226,kein_Terminated,Zeit abgelaufen,0.22,134,-6722.0,21,20250407-012857
227,kein_Terminated,Zeit abgelaufen,0.32,155,-5374.0,21,20250407-012916
228,kein_Terminated,Zeit abgelaufen,0.3,173,-6516.0,21,20250407-012935
229,kein_Terminated,Zeit abgelaufen,0.35,390,-15734.0,21,20250407-012954
230,kein_Terminated,Zeit abgelaufen,0.46,166,-5430.0,21,20250407-013013
231,kein_Terminated,Zeit abgelaufen,0.37,106,-2746.0,21,20250407-013032
232,kein_Terminated,Zeit abgelaufen,0.24,104,-2966.0,21,20250407-013050
233,kein_Terminated,Zeit abgelaufen,0.41,221,-8524.0,21,20250407-013109
234,kein_Terminated,Zeit abgelaufen,0.34,360,-14174.0,21,20250407-013128
235,kein_Terminated,Zeit abgelaufen,0.3,236,-10078.0,21,20250407-013147
236,kein_Terminated,Zeit abgelaufen,0.41,202,-6756.0,21,20250407-013206
237,kein_Terminated,Zeit abgelaufen,0.21,281,-12792.0,21,20250407-013225
238,kein_Terminated,Zeit abgelaufen,0.26,151,-5524.0,21,20250407-013244
239,kein_Terminated,Zeit abgelaufen,0.25,263,-12452.0,21,20250407-013303
240,kein_Terminated,Zeit abgelaufen,0.19,383,-17184.0,21,20250407-013322
241,kein_Terminated,Zeit abgelaufen,0.2,493,-22368.0,21,20250407-013341
242,kein_Terminated,Zeit abgelaufen,0.31,26,652.0,21,20250407-013400
243,kein_Terminated,Zeit abgelaufen,0.34,325,-13604.0,21,20250407-013419
244,kein_Terminated,Zeit abgelaufen,0.36,46,-208.0,21,20250407-013437
245,kein_Terminated,Zeit abgelaufen,0.31,429,-18578.0,21,20250407-013456
246,kein_Terminated,Zeit abgelaufen,0.38,176,-6144.0,21,20250407-013515
247,kein_Terminated,Zeit abgelaufen,0.34,424,-17786.0,21,20250407-013534
248,kein_Terminated,Zeit abgelaufen,0.4,292,-12896.0,21,20250407-013553
249,kein_Terminated,Zeit abgelaufen,0.42,200,-7604.0,21,20250407-013612
3,kein_Terminated,Zeit abgelaufen,0.14,522,-24192.0,21,20250407-013637
250,kein_Terminated,Zeit abgelaufen,0.36,325,-13418.0,21,20250407-013650
251,kein_Terminated,Zeit abgelaufen,0.54,207,-6446.0,21,20250407-013709
252,kein_Terminated,Zeit abgelaufen,0.2,482,-21710.0,21,20250407-013729
253,kein_Terminated,Zeit abgelaufen,0.23,404,-17544.0,21,20250407-013748
254,kein_Terminated,Zeit abgelaufen,0.25,514,-23234.0,21,20250407-013807
255,kein_Terminated,Zeit abgelaufen,0.46,163,-5600.0,21,20250407-013825
256,kein_Terminated,Zeit abgelaufen,0.54,168,-4438.0,21,20250407-013844
257,kein_Terminated,Zeit abgelaufen,0.5,174,-5860.0,21,20250407-013903
258,kein_Terminated,Zeit abgelaufen,0.46,250,-9312.0,21,20250407-013922
259,kein_Terminated,Zeit abgelaufen,0.39,132,-3634.0,21,20250407-013941
260,kein_Terminated,Zeit abgelaufen,0.52,180,-5392.0,21,20250407-013959
261,kein_Terminated,Zeit abgelaufen,0.34,155,-5922.0,21,20250407-014018
262,kein_Terminated,Zeit abgelaufen,0.48,158,-5386.0,21,20250407-014037
263,kein_Terminated,Zeit abgelaufen,0.35,164,-5994.0,21,20250407-014056
264,kein_Terminated,Zeit abgelaufen,0.42,125,-3716.0,21,20250407-014114
265,kein_Terminated,Zeit abgelaufen,0.43,183,-6232.0,21,20250407-014133
266,kein_Terminated,Zeit abgelaufen,0.39,124,-3738.0,21,20250407-014152
