DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,650000,99999,100,100,50,2,0.5,5,-10,0.1,0,8,3,False,,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,True,SET_20250423-004900

Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt
112,kein_Terminated,Zeit abgelaufen,0.16,11,1806,300.5,15,8,20250424-110257
113,kein_Terminated,Zeit abgelaufen,0.16,110,868,300.5,15,8,20250424-110312
114,kein_Terminated,Zeit abgelaufen,0.17,41,1610,300.5,15,5,20250424-110327
115,kein_Terminated,Zeit abgelaufen,0.17,40,1676,300.5,15,5,20250424-110341
116,kein_Terminated,Zeit abgelaufen,0.1,64,476,300.5,15,2,20250424-110355
117,kein_Terminated,Zeit abgelaufen,0.23,101,1802,300.5,15,2,20250424-110409
118,kein_Terminated,Zeit abgelaufen,0.08,1,862,300.5,15,9,20250424-110425
119,kein_Terminated,Zeit abgelaufen,0.15,6,1568,300.5,26,9,20250424-110443
120,kein_Terminated,Zeit abgelaufen,0.33,65,3174,300.5,26,9,20250424-110500
121,kein_Terminated,Zeit abgelaufen,0.3,58,2932,300.5,26,0,20250424-110518
122,kein_Terminated,Zeit abgelaufen,0.19,29,1894,300.5,26,0,20250424-110536
123,kein_Terminated,Zeit abgelaufen,0.26,14,2904,300.5,26,1,20250424-110553
124,kein_Terminated,Zeit abgelaufen,0.27,19,2882,300.5,26,1,20250424-110611
125,kein_Terminated,Zeit abgelaufen,0.2,120,1104,300.5,26,5,20250424-110629
126,kein_Terminated,Zeit abgelaufen,0.2,115,1338,300.5,0,8,20250424-110643
127,kein_Terminated,Zeit abgelaufen,0.17,66,1472,300.5,0,8,20250424-110657
128,kein_Terminated,Zeit abgelaufen,0.2,6,2376,300.5,0,1,20250424-110710
129,kein_Terminated,Zeit abgelaufen,0.22,3,2674,300.5,0,1,20250424-110725
130,kein_Terminated,Zeit abgelaufen,0.19,2,2292,300.5,0,2,20250424-110738
131,kein_Terminated,Zeit abgelaufen,0.19,5,2286,300.5,0,2,20250424-110752
132,kein_Terminated,Zeit abgelaufen,0.17,11,1942,300.5,0,2,20250424-110806
133,kein_Terminated,Zeit abgelaufen,0.07,113,-306,300.5,0,0,20250424-110819
134,kein_Terminated,Zeit abgelaufen,0.07,54,324,300.5,0,0,20250424-110832
135,kein_Terminated,Zeit abgelaufen,0.19,47,1846,300.5,0,8,20250424-110845
136,kein_Terminated,Zeit abgelaufen,0.21,43,2190,300.5,0,8,20250424-110859
137,kein_Terminated,Zeit abgelaufen,0.11,6,1236,300.5,0,3,20250424-110912
138,kein_Terminated,Zeit abgelaufen,0.11,92,412,300.5,0,3,20250424-110925
139,kein_Terminated,Zeit abgelaufen,0.09,69,438,300.5,0,3,20250424-110937
140,kein_Terminated,Zeit abgelaufen,0.07,0,880,300.5,5,2,20250424-110951
141,kein_Terminated,Zeit abgelaufen,0.1,0,1176,300.5,5,2,20250424-111005
142,kein_Terminated,Zeit abgelaufen,0.13,0,1628,300.5,5,1,20250424-111019
143,kein_Terminated,Zeit abgelaufen,0.14,0,1736,300.5,5,1,20250424-111034
144,kein_Terminated,Zeit abgelaufen,0.17,0,2128,300.5,5,7,20250424-111048
145,kein_Terminated,Zeit abgelaufen,0.14,0,1776,300.5,5,7,20250424-111102
146,kein_Terminated,Zeit abgelaufen,0.09,0,1024,300.5,5,2,20250424-111116
147,kein_Terminated,Zeit abgelaufen,0.17,0,2124,300.5,5,7,20250424-111130
148,kein_Terminated,Zeit abgelaufen,0.16,1,2038,300.5,5,7,20250424-111145
149,kein_Terminated,Zeit abgelaufen,0.14,0,1732,300.5,5,1,20250424-111159
150,kein_Terminated,Zeit abgelaufen,0.12,0,1536,300.5,5,1,20250424-111213
151,kein_Terminated,Zeit abgelaufen,0.09,0,1036,300.5,5,9,20250424-111228
152,kein_Terminated,Zeit abgelaufen,0.09,0,1140,300.5,5,9,20250424-111242
153,kein_Terminated,Zeit abgelaufen,0.12,0,1536,300.5,5,0,20250424-111256
154,kein_Terminated,Zeit abgelaufen,0.12,1,1450,300.5,15,4,20250424-111312
155,kein_Terminated,Zeit abgelaufen,0.12,2,1368,300.5,15,4,20250424-111328
156,kein_Terminated,Zeit abgelaufen,0.15,285,-1042,300.5,15,8,20250424-111342
157,kein_Terminated,Zeit abgelaufen,0.07,323,-2478,300.5,15,8,20250424-111355
158,kein_Terminated,Zeit abgelaufen,0.08,46,468,300.5,15,1,20250424-111409
159,kein_Terminated,Zeit abgelaufen,0.19,19,2174,300.5,15,1,20250424-111425
160,kein_Terminated,Zeit abgelaufen,0.08,14,820,300.5,15,9,20250424-111440
161,kein_Terminated,Zeit abgelaufen,0.23,2,2800,300.5,8,6,20250424-111455
162,kein_Terminated,Zeit abgelaufen,0.25,3,3110,300.5,8,6,20250424-111509
163,kein_Terminated,Zeit abgelaufen,0.26,8,3172,300.5,8,6,20250424-111523
164,kein_Terminated,Zeit abgelaufen,0.25,3,3042,300.5,8,6,20250424-111538
165,kein_Terminated,Zeit abgelaufen,0.27,3,3418,300.5,8,6,20250424-111552
166,kein_Terminated,Zeit abgelaufen,0.26,2,3216,300.5,8,6,20250424-111606
2,kein_Terminated,Zeit abgelaufen,0.02,582,-5676,300.5,0,1,20250424-111625
167,kein_Terminated,Zeit abgelaufen,0.2,0,2476,300.5,8,2,20250424-111636
168,kein_Terminated,Zeit abgelaufen,0.11,0,1400,300.5,5,8,20250424-111649
169,kein_Terminated,Zeit abgelaufen,0.13,0,1560,300.5,5,8,20250424-111703
170,kein_Terminated,Zeit abgelaufen,0.1,0,1172,300.5,5,8,20250424-111718
171,kein_Terminated,Zeit abgelaufen,0.09,0,1128,300.5,5,8,20250424-111732
172,kein_Terminated,Zeit abgelaufen,0.16,0,1992,300.5,5,7,20250424-111746
173,kein_Terminated,Zeit abgelaufen,0.17,1,2178,300.5,5,7,20250424-111800
174,kein_Terminated,Zeit abgelaufen,0.13,0,1620,300.5,5,1,20250424-111814
175,kein_Terminated,Zeit abgelaufen,0.16,1,1966,300.5,8,2,20250424-111828
