DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
763,kein_Terminated,Zeit abgelaufen,0.63,11,7974,300.5,0,3,20250416-010951,,,,,,,,,,,,,,,,,,
764,kein_Terminated,Zeit abgelaufen,0.62,16,7736,300.5,0,3,20250416-011007,,,,,,,,,,,,,,,,,,
765,kein_Terminated,Zeit abgelaufen,0.59,14,7384,300.5,0,6,20250416-011023,,,,,,,,,,,,,,,,,,
766,kein_Terminated,Zeit abgelaufen,0.69,30,8500,300.5,0,6,20250416-011040,,,,,,,,,,,,,,,,,,
767,kein_Terminated,Zeit abgelaufen,0.62,17,7786,300.5,0,4,20250416-011056,,,,,,,,,,,,,,,,,,
768,kein_Terminated,Zeit abgelaufen,0.55,46,6528,300.5,0,4,20250416-011113,,,,,,,,,,,,,,,,,,
769,kein_Terminated,Zeit abgelaufen,0.67,46,8152,300.5,0,7,20250416-011129,,,,,,,,,,,,,,,,,,
770,kein_Terminated,Zeit abgelaufen,0.74,47,9086,300.5,5,0,20250416-011145,,,,,,,,,,,,,,,,,,
771,kein_Terminated,Zeit abgelaufen,0.65,29,8142,300.5,5,0,20250416-011202,,,,,,,,,,,,,,,,,,
772,kein_Terminated,Zeit abgelaufen,0.62,17,7822,300.5,5,9,20250416-011218,,,,,,,,,,,,,,,,,,
773,kein_Terminated,Zeit abgelaufen,0.72,15,9170,300.5,5,9,20250416-011234,,,,,,,,,,,,,,,,,,
774,kein_Terminated,Zeit abgelaufen,0.72,50,8888,300.5,5,8,20250416-011251,,,,,,,,,,,,,,,,,,
775,kein_Terminated,Zeit abgelaufen,0.71,33,8854,300.5,5,8,20250416-011307,,,,,,,,,,,,,,,,,,
776,kein_Terminated,Zeit abgelaufen,0.68,23,8522,300.5,5,9,20250416-011323,,,,,,,,,,,,,,,,,,
777,kein_Terminated,Zeit abgelaufen,0.71,46,8648,300.5,8,7,20250416-011340,,,,,,,,,,,,,,,,,,
778,kein_Terminated,Zeit abgelaufen,0.59,44,7128,300.5,8,7,20250416-011356,,,,,,,,,,,,,,,,,,
779,kein_Terminated,Zeit abgelaufen,0.64,58,7644,300.5,8,0,20250416-011413,,,,,,,,,,,,,,,,,,
780,kein_Terminated,Zeit abgelaufen,0.67,64,7964,300.5,8,0,20250416-011429,,,,,,,,,,,,,,,,,,
781,kein_Terminated,Zeit abgelaufen,0.72,70,8520,300.5,8,4,20250416-011446,,,,,,,,,,,,,,,,,,
782,kein_Terminated,Zeit abgelaufen,0.73,58,8752,300.5,8,4,20250416-011502,,,,,,,,,,,,,,,,,,
783,kein_Terminated,Zeit abgelaufen,0.66,35,8090,300.5,8,3,20250416-011519,,,,,,,,,,,,,,,,,,
784,kein_Terminated,Zeit abgelaufen,0.7,56,8236,300.5,15,2,20250416-011536,,,,,,,,,,,,,,,,,,
785,kein_Terminated,Zeit abgelaufen,0.61,79,6814,300.5,15,2,20250416-011553,,,,,,,,,,,,,,,,,,
786,kein_Terminated,Zeit abgelaufen,0.59,66,6724,300.5,15,9,20250416-011610,,,,,,,,,,,,,,,,,,
787,kein_Terminated,Zeit abgelaufen,0.54,72,6060,300.5,15,9,20250416-011628,,,,,,,,,,,,,,,,,,
788,kein_Terminated,Zeit abgelaufen,0.66,65,7630,300.5,15,4,20250416-011645,,,,,,,,,,,,,,,,,,
789,kein_Terminated,Zeit abgelaufen,0.67,54,7852,300.5,15,4,20250416-011702,,,,,,,,,,,,,,,,,,
790,kein_Terminated,Zeit abgelaufen,0.64,45,7630,300.5,15,2,20250416-011719,,,,,,,,,,,,,,,,,,
791,kein_Terminated,Zeit abgelaufen,0.48,42,5812,300.5,5,0,20250416-011736,,,,,,,,,,,,,,,,,,
792,kein_Terminated,Zeit abgelaufen,0.56,56,6676,300.5,5,0,20250416-011752,,,,,,,,,,,,,,,,,,
793,kein_Terminated,Zeit abgelaufen,0.69,32,8636,300.5,5,5,20250416-011808,,,,,,,,,,,,,,,,,,
794,kein_Terminated,Zeit abgelaufen,0.64,41,7862,300.5,5,5,20250416-011825,,,,,,,,,,,,,,,,,,
795,kein_Terminated,Zeit abgelaufen,0.73,44,9032,300.5,5,9,20250416-011841,,,,,,,,,,,,,,,,,,
796,kein_Terminated,Zeit abgelaufen,0.69,31,8698,300.5,5,9,20250416-011857,,,,,,,,,,,,,,,,,,
797,kein_Terminated,Zeit abgelaufen,0.7,23,8862,300.5,5,0,20250416-011913,,,,,,,,,,,,,,,,,,
798,kein_Terminated,Zeit abgelaufen,0.5,67,5638,300.5,15,8,20250416-011930,,,,,,,,,,,,,,,,,,
799,kein_Terminated,Zeit abgelaufen,0.61,55,7122,300.5,15,8,20250416-011948,,,,,,,,,,,,,,,,,,
800,kein_Terminated,Zeit abgelaufen,0.59,51,6882,300.5,15,8,20250416-012005,,,,,,,,,,,,,,,,,,
801,kein_Terminated,Zeit abgelaufen,0.73,76,8428,300.5,15,8,20250416-012022,,,,,,,,,,,,,,,,,,
802,kein_Terminated,Zeit abgelaufen,0.67,57,7862,300.5,15,1,20250416-012039,,,,,,,,,,,,,,,,,,
803,kein_Terminated,Zeit abgelaufen,0.65,50,7588,300.5,15,1,20250416-012057,,,,,,,,,,,,,,,,,,
804,kein_Terminated,Zeit abgelaufen,0.68,28,8216,300.5,15,1,20250416-012114,,,,,,,,,,,,,,,,,,
805,kein_Terminated,Zeit abgelaufen,0.63,86,6988,300.5,15,2,20250416-012131,,,,,,,,,,,,,,,,,,
806,kein_Terminated,Zeit abgelaufen,0.67,42,7992,300.5,15,2,20250416-012148,,,,,,,,,,,,,,,,,,
807,kein_Terminated,Zeit abgelaufen,0.61,65,6994,300.5,15,1,20250416-012205,,,,,,,,,,,,,,,,,,
808,kein_Terminated,Zeit abgelaufen,0.65,42,7704,300.5,15,1,20250416-012223,,,,,,,,,,,,,,,,,,
809,kein_Terminated,Zeit abgelaufen,0.57,68,6504,300.5,15,0,20250416-012240,,,,,,,,,,,,,,,,,,
810,kein_Terminated,Zeit abgelaufen,0.61,75,6866,300.5,15,0,20250416-012258,,,,,,,,,,,,,,,,,,
811,kein_Terminated,Zeit abgelaufen,0.56,47,6574,300.5,15,5,20250416-012315,,,,,,,,,,,,,,,,,,
812,kein_Terminated,Zeit abgelaufen,0.66,51,7970,300.5,0,8,20250416-012331,,,,,,,,,,,,,,,,,,
813,kein_Terminated,Zeit abgelaufen,0.66,28,8212,300.5,0,8,20250416-012348,,,,,,,,,,,,,,,,,,
814,kein_Terminated,Zeit abgelaufen,0.64,32,7832,300.5,0,4,20250416-012404,,,,,,,,,,,,,,,,,,
815,kein_Terminated,Zeit abgelaufen,0.67,23,8422,300.5,0,4,20250416-012420,,,,,,,,,,,,,,,,,,
816,kein_Terminated,Zeit abgelaufen,0.63,44,7628,300.5,0,6,20250416-012436,,,,,,,,,,,,,,,,,,
817,kein_Terminated,Zeit abgelaufen,0.64,50,7648,300.5,0,6,20250416-012453,,,,,,,,,,,,,,,,,,
818,kein_Terminated,Zeit abgelaufen,0.65,20,8152,300.5,0,0,20250416-012509,,,,,,,,,,,,,,,,,,
819,kein_Terminated,Zeit abgelaufen,0.65,51,7846,300.5,0,5,20250416-012525,,,,,,,,,,,,,,,,,,
820,kein_Terminated,Zeit abgelaufen,0.63,25,7870,300.5,0,5,20250416-012542,,,,,,,,,,,,,,,,,,
821,kein_Terminated,Zeit abgelaufen,0.65,35,8050,300.5,0,9,20250416-012558,,,,,,,,,,,,,,,,,,
822,kein_Terminated,Zeit abgelaufen,0.63,26,7868,300.5,0,9,20250416-012615,,,,,,,,,,,,,,,,,,
823,kein_Terminated,Zeit abgelaufen,0.67,43,8126,300.5,0,1,20250416-012631,,,,,,,,,,,,,,,,,,
824,kein_Terminated,Zeit abgelaufen,0.61,31,7478,300.5,0,1,20250416-012647,,,,,,,,,,,,,,,,,,
825,kein_Terminated,Zeit abgelaufen,0.69,31,8558,300.5,0,1,20250416-012704,,,,,,,,,,,,,,,,,,
826,kein_Terminated,Zeit abgelaufen,0.75,33,9374,300.5,5,8,20250416-012720,,,,,,,,,,,,,,,,,,
827,kein_Terminated,Zeit abgelaufen,0.7,32,8712,300.5,5,8,20250416-012736,,,,,,,,,,,,,,,,,,
828,kein_Terminated,Zeit abgelaufen,0.69,30,8604,300.5,5,5,20250416-012753,,,,,,,,,,,,,,,,,,
829,kein_Terminated,Zeit abgelaufen,0.73,5,9410,300.5,5,5,20250416-012809,,,,,,,,,,,,,,,,,,
830,kein_Terminated,Zeit abgelaufen,0.62,34,7684,300.5,5,6,20250416-012826,,,,,,,,,,,,,,,,,,
10,kein_Terminated,Zeit abgelaufen,0.58,4,7516,300.5,5,2,20250416-012849,,,,,,,,,,,,,,,,,,
831,kein_Terminated,Zeit abgelaufen,0.6,49,7302,300.5,5,6,20250416-012856,,,,,,,,,,,,,,,,,,
832,kein_Terminated,Zeit abgelaufen,0.69,19,8798,300.5,5,2,20250416-012912,,,,,,,,,,,,,,,,,,
833,kein_Terminated,Zeit abgelaufen,0.73,27,9150,300.5,5,1,20250416-012928,,,,,,,,,,,,,,,,,,
834,kein_Terminated,Zeit abgelaufen,0.69,19,8734,300.5,5,1,20250416-012944,,,,,,,,,,,,,,,,,,
835,kein_Terminated,Zeit abgelaufen,0.64,29,7978,300.5,5,3,20250416-013001,,,,,,,,,,,,,,,,,,
836,kein_Terminated,Zeit abgelaufen,0.63,54,7580,300.5,5,3,20250416-013017,,,,,,,,,,,,,,,,,,
837,kein_Terminated,Zeit abgelaufen,0.68,49,8362,300.5,5,6,20250416-013033,,,,,,,,,,,,,,,,,,
838,kein_Terminated,Zeit abgelaufen,0.67,45,8290,300.5,5,6,20250416-013049,,,,,,,,,,,,,,,,,,
839,kein_Terminated,Zeit abgelaufen,0.68,52,8240,300.5,5,6,20250416-013106,,,,,,,,,,,,,,,,,,
840,kein_Terminated,Zeit abgelaufen,0.7,49,8242,300.5,15,8,20250416-013123,,,,,,,,,,,,,,,,,,
841,kein_Terminated,Zeit abgelaufen,0.38,59,4194,300.5,15,8,20250416-013140,,,,,,,,,,,,,,,,,,
842,kein_Terminated,Zeit abgelaufen,0.54,57,6126,300.5,15,7,20250416-013157,,,,,,,,,,,,,,,,,,
843,kein_Terminated,Zeit abgelaufen,0.45,46,5176,300.5,15,7,20250416-013213,,,,,,,,,,,,,,,,,,
844,kein_Terminated,Zeit abgelaufen,0.47,47,5434,300.5,15,9,20250416-013231,,,,,,,,,,,,,,,,,,
845,kein_Terminated,Zeit abgelaufen,0.26,97,2208,300.5,15,9,20250416-013247,,,,,,,,,,,,,,,,,,
846,kein_Terminated,Zeit abgelaufen,0.64,51,7458,300.5,15,1,20250416-013305,,,,,,,,,,,,,,,,,,
847,kein_Terminated,Zeit abgelaufen,0.63,13,8050,300.5,5,9,20250416-013321,,,,,,,,,,,,,,,,,,
848,kein_Terminated,Zeit abgelaufen,0.65,21,8186,300.5,5,9,20250416-013338,,,,,,,,,,,,,,,,,,
849,kein_Terminated,Zeit abgelaufen,0.64,34,7920,300.5,5,9,20250416-013354,,,,,,,,,,,,,,,,,,
850,kein_Terminated,Zeit abgelaufen,0.68,19,8602,300.5,5,9,20250416-013410,,,,,,,,,,,,,,,,,,
851,kein_Terminated,Zeit abgelaufen,0.65,27,8094,300.5,5,1,20250416-013427,,,,,,,,,,,,,,,,,,
852,kein_Terminated,Zeit abgelaufen,0.66,24,8316,300.5,5,1,20250416-013443,,,,,,,,,,,,,,,,,,
853,kein_Terminated,Zeit abgelaufen,0.71,31,8850,300.5,5,0,20250416-013459,,,,,,,,,,,,,,,,,,
854,kein_Terminated,Zeit abgelaufen,0.71,54,8368,300.5,15,8,20250416-013517,,,,,,,,,,,,,,,,,,
855,kein_Terminated,Zeit abgelaufen,0.37,67,3862,300.5,15,8,20250416-013534,,,,,,,,,,,,,,,,,,
856,kein_Terminated,Zeit abgelaufen,0.6,62,6964,300.5,15,9,20250416-013551,,,,,,,,,,,,,,,,,,
857,kein_Terminated,Zeit abgelaufen,0.27,50,2808,300.5,15,9,20250416-013608,,,,,,,,,,,,,,,,,,
858,kein_Terminated,Zeit abgelaufen,0.76,84,8688,300.5,15,9,20250416-013625,,,,,,,,,,,,,,,,,,
859,kein_Terminated,Zeit abgelaufen,0.29,65,2938,300.5,15,9,20250416-013641,,,,,,,,,,,,,,,,,,
860,kein_Terminated,Zeit abgelaufen,0.68,51,7974,300.5,15,3,20250416-013658,,,,,,,,,,,,,,,,,,
861,kein_Terminated,Zeit abgelaufen,0.57,39,6262,300.5,26,3,20250416-013719,,,,,,,,,,,,,,,,,,
862,kein_Terminated,Zeit abgelaufen,0.78,69,8522,300.5,26,3,20250416-013740,,,,,,,,,,,,,,,,,,
863,kein_Terminated,Zeit abgelaufen,0.68,30,7668,300.5,26,6,20250416-013800,,,,,,,,,,,,,,,,,,
864,kein_Terminated,Zeit abgelaufen,0.59,37,6590,300.5,26,6,20250416-013821,,,,,,,,,,,,,,,,,,
865,kein_Terminated,Zeit abgelaufen,0.71,40,7896,300.5,26,5,20250416-013842,,,,,,,,,,,,,,,,,,
866,kein_Terminated,Zeit abgelaufen,0.59,39,6550,300.5,26,5,20250416-013902,,,,,,,,,,,,,,,,,,
867,kein_Terminated,Zeit abgelaufen,0.65,61,7050,300.5,26,5,20250416-013923,,,,,,,,,,,,,,,,,,
868,kein_Terminated,Zeit abgelaufen,0.67,18,7664,300.5,26,2,20250416-013944,,,,,,,,,,,,,,,,,,
869,kein_Terminated,Zeit abgelaufen,0.7,47,7822,300.5,26,2,20250416-014005,,,,,,,,,,,,,,,,,,
870,kein_Terminated,Zeit abgelaufen,0.64,46,7064,300.5,26,4,20250416-014025,,,,,,,,,,,,,,,,,,
871,kein_Terminated,Zeit abgelaufen,0.62,46,6776,300.5,26,4,20250416-014046,,,,,,,,,,,,,,,,,,
872,kein_Terminated,Zeit abgelaufen,0.65,18,7484,300.5,26,0,20250416-014106,,,,,,,,,,,,,,,,,,
873,kein_Terminated,Zeit abgelaufen,0.65,43,7190,300.5,26,0,20250416-014127,,,,,,,,,,,,,,,,,,
874,kein_Terminated,Zeit abgelaufen,0.51,40,5596,300.5,26,4,20250416-014148,,,,,,,,,,,,,,,,,,
875,kein_Terminated,Zeit abgelaufen,0.64,35,7106,300.5,26,3,20250416-014208,,,,,,,,,,,,,,,,,,
876,kein_Terminated,Zeit abgelaufen,0.73,33,8278,300.5,26,3,20250416-014229,,,,,,,,,,,,,,,,,,
877,kein_Terminated,Zeit abgelaufen,0.67,39,7522,300.5,26,6,20250416-014250,,,,,,,,,,,,,,,,,,
878,kein_Terminated,Zeit abgelaufen,0.67,29,7586,300.5,26,6,20250416-014310,,,,,,,,,,,,,,,,,,
879,kein_Terminated,Zeit abgelaufen,0.74,53,8102,300.5,26,6,20250416-014331,,,,,,,,,,,,,,,,,,
880,kein_Terminated,Zeit abgelaufen,0.63,24,7152,300.5,26,6,20250416-014352,,,,,,,,,,,,,,,,,,
881,kein_Terminated,Zeit abgelaufen,0.67,43,7478,300.5,26,9,20250416-014413,,,,,,,,,,,,,,,,,,
882,kein_Terminated,Zeit abgelaufen,0.66,57,7898,300.5,8,0,20250416-014429,,,,,,,,,,,,,,,,,,
883,kein_Terminated,Zeit abgelaufen,0.67,49,8062,300.5,8,0,20250416-014446,,,,,,,,,,,,,,,,,,
884,kein_Terminated,Zeit abgelaufen,0.65,45,7882,300.5,8,8,20250416-014503,,,,,,,,,,,,,,,,,,
885,kein_Terminated,Zeit abgelaufen,0.68,39,8254,300.5,8,8,20250416-014519,,,,,,,,,,,,,,,,,,
886,kein_Terminated,Zeit abgelaufen,0.74,54,8932,300.5,8,3,20250416-014536,,,,,,,,,,,,,,,,,,
887,kein_Terminated,Zeit abgelaufen,0.74,33,9154,300.5,8,3,20250416-014552,,,,,,,,,,,,,,,,,,
888,kein_Terminated,Zeit abgelaufen,0.54,53,6356,300.5,8,6,20250416-014609,,,,,,,,,,,,,,,,,,
889,kein_Terminated,Zeit abgelaufen,0.7,32,8808,300.5,5,8,20250416-014625,,,,,,,,,,,,,,,,,,
890,kein_Terminated,Zeit abgelaufen,0.72,34,8996,300.5,5,8,20250416-014642,,,,,,,,,,,,,,,,,,
891,kein_Terminated,Zeit abgelaufen,0.73,28,9156,300.5,5,9,20250416-014658,,,,,,,,,,,,,,,,,,
892,kein_Terminated,Zeit abgelaufen,0.7,6,9072,300.5,5,9,20250416-014714,,,,,,,,,,,,,,,,,,
893,kein_Terminated,Zeit abgelaufen,0.63,31,7858,300.5,5,6,20250416-014730,,,,,,,,,,,,,,,,,,
894,kein_Terminated,Zeit abgelaufen,0.64,19,8146,300.5,5,6,20250416-014747,,,,,,,,,,,,,,,,,,
895,kein_Terminated,Zeit abgelaufen,0.65,13,8238,300.5,5,2,20250416-014803,,,,,,,,,,,,,,,,,,
896,kein_Terminated,Zeit abgelaufen,0.69,57,8306,300.5,0,5,20250416-014819,,,,,,,,,,,,,,,,,,
897,kein_Terminated,Zeit abgelaufen,0.6,49,7162,300.5,0,5,20250416-014836,,,,,,,,,,,,,,,,,,
898,kein_Terminated,Zeit abgelaufen,0.64,10,8160,300.5,0,6,20250416-014852,,,,,,,,,,,,,,,,,,
899,kein_Terminated,Zeit abgelaufen,0.63,29,7838,300.5,0,6,20250416-014908,,,,,,,,,,,,,,,,,,
900,kein_Terminated,Zeit abgelaufen,0.62,27,7650,300.5,0,7,20250416-014925,,,,,,,,,,,,,,,,,,
901,kein_Terminated,Zeit abgelaufen,0.7,78,8208,300.5,0,7,20250416-014941,,,,,,,,,,,,,,,,,,
902,kein_Terminated,Zeit abgelaufen,0.62,34,7596,300.5,0,2,20250416-014957,,,,,,,,,,,,,,,,,,
903,kein_Terminated,Zeit abgelaufen,0.63,48,7612,300.5,0,0,20250416-015014,,,,,,,,,,,,,,,,,,
904,kein_Terminated,Zeit abgelaufen,0.64,16,8056,300.5,0,0,20250416-015030,,,,,,,,,,,,,,,,,,
905,kein_Terminated,Zeit abgelaufen,0.62,35,7554,300.5,0,6,20250416-015047,,,,,,,,,,,,,,,,,,
906,kein_Terminated,Zeit abgelaufen,0.62,31,7658,300.5,0,6,20250416-015103,,,,,,,,,,,,,,,,,,
907,kein_Terminated,Zeit abgelaufen,0.62,62,7320,300.5,0,3,20250416-015119,,,,,,,,,,,,,,,,,,
908,kein_Terminated,Zeit abgelaufen,0.64,24,8028,300.5,0,3,20250416-015136,,,,,,,,,,,,,,,,,,
909,kein_Terminated,Zeit abgelaufen,0.73,47,8946,300.5,0,9,20250416-015152,,,,,,,,,,,,,,,,,,
910,kein_Terminated,Zeit abgelaufen,0.74,91,7830,300.5,26,7,20250416-015213,,,,,,,,,,,,,,,,,,
911,kein_Terminated,Zeit abgelaufen,0.75,61,8194,300.5,26,7,20250416-015233,,,,,,,,,,,,,,,,,,
912,kein_Terminated,Zeit abgelaufen,0.65,22,7364,300.5,26,1,20250416-015254,,,,,,,,,,,,,,,,,,
913,kein_Terminated,Zeit abgelaufen,0.73,47,8054,300.5,26,1,20250416-015315,,,,,,,,,,,,,,,,,,
11,kein_Terminated,Zeit abgelaufen,0.36,55,4142,300.5,5,1,20250416-015342,,,,,,,,,,,,,,,,,,
914,kein_Terminated,Zeit abgelaufen,0.74,66,8076,300.5,26,7,20250416-015348,,,,,,,,,,,,,,,,,,
915,kein_Terminated,Zeit abgelaufen,0.74,64,8044,300.5,26,7,20250416-015409,,,,,,,,,,,,,,,,,,
916,kein_Terminated,Zeit abgelaufen,0.67,39,7454,300.5,26,9,20250416-015430,,,,,,,,,,,,,,,,,,
917,kein_Terminated,Zeit abgelaufen,0.64,36,7160,300.5,26,4,20250416-015450,,,,,,,,,,,,,,,,,,
918,kein_Terminated,Zeit abgelaufen,0.67,31,7578,300.5,26,4,20250416-015511,,,,,,,,,,,,,,,,,,
919,kein_Terminated,Zeit abgelaufen,0.68,46,7572,300.5,26,0,20250416-015532,,,,,,,,,,,,,,,,,,
920,kein_Terminated,Zeit abgelaufen,0.59,66,6340,300.5,26,0,20250416-015552,,,,,,,,,,,,,,,,,,
921,kein_Terminated,Zeit abgelaufen,0.67,33,7534,300.5,26,0,20250416-015613,,,,,,,,,,,,,,,,,,
922,kein_Terminated,Zeit abgelaufen,0.62,29,7026,300.5,26,0,20250416-015634,,,,,,,,,,,,,,,,,,
923,kein_Terminated,Zeit abgelaufen,0.65,28,7344,300.5,26,4,20250416-015654,,,,,,,,,,,,,,,,,,
924,kein_Terminated,Zeit abgelaufen,0.6,48,7132,300.5,8,7,20250416-015711,,,,,,,,,,,,,,,,,,
925,kein_Terminated,Zeit abgelaufen,0.76,64,9052,300.5,8,7,20250416-015727,,,,,,,,,,,,,,,,,,
926,kein_Terminated,Zeit abgelaufen,0.77,50,9348,300.5,8,3,20250416-015744,,,,,,,,,,,,,,,,,,
927,kein_Terminated,Zeit abgelaufen,0.68,65,7990,300.5,8,3,20250416-015801,,,,,,,,,,,,,,,,,,
928,kein_Terminated,Zeit abgelaufen,0.47,73,5178,300.5,8,8,20250416-015817,,,,,,,,,,,,,,,,,,
929,kein_Terminated,Zeit abgelaufen,0.5,71,5642,300.5,8,8,20250416-015834,,,,,,,,,,,,,,,,,,
930,kein_Terminated,Zeit abgelaufen,0.75,60,8996,300.5,8,8,20250416-015850,,,,,,,,,,,,,,,,,,
931,kein_Terminated,Zeit abgelaufen,0.65,8,8236,300.5,0,6,20250416-015907,,,,,,,,,,,,,,,,,,
932,kein_Terminated,Zeit abgelaufen,0.62,30,7700,300.5,0,6,20250416-015923,,,,,,,,,,,,,,,,,,
933,kein_Terminated,Zeit abgelaufen,0.67,47,8106,300.5,0,7,20250416-015939,,,,,,,,,,,,,,,,,,
934,kein_Terminated,Zeit abgelaufen,0.66,55,7942,300.5,0,7,20250416-015956,,,,,,,,,,,,,,,,,,
935,kein_Terminated,Zeit abgelaufen,0.75,62,8976,300.5,0,7,20250416-020012,,,,,,,,,,,,,,,,,,
936,kein_Terminated,Zeit abgelaufen,0.69,41,8446,300.5,0,7,20250416-020028,,,,,,,,,,,,,,,,,,
937,kein_Terminated,Zeit abgelaufen,0.68,36,8328,300.5,0,4,20250416-020045,,,,,,,,,,,,,,,,,,
938,kein_Terminated,Zeit abgelaufen,0.43,60,4776,300.5,15,9,20250416-020102,,,,,,,,,,,,,,,,,,
939,kein_Terminated,Zeit abgelaufen,0.66,118,7088,300.5,15,9,20250416-020119,,,,,,,,,,,,,,,,,,
940,kein_Terminated,Zeit abgelaufen,0.67,78,7560,300.5,15,1,20250416-020137,,,,,,,,,,,,,,,,,,
941,kein_Terminated,Zeit abgelaufen,0.67,60,7740,300.5,15,1,20250416-020154,,,,,,,,,,,,,,,,,,
942,kein_Terminated,Zeit abgelaufen,0.65,68,7520,300.5,15,9,20250416-020211,,,,,,,,,,,,,,,,,,
943,kein_Terminated,Zeit abgelaufen,0.39,75,4134,300.5,15,9,20250416-020228,,,,,,,,,,,,,,,,,,
944,kein_Terminated,Zeit abgelaufen,0.43,53,4862,300.5,15,6,20250416-020245,,,,,,,,,,,,,,,,,,
945,kein_Terminated,Zeit abgelaufen,0.7,46,8428,300.5,8,3,20250416-020302,,,,,,,,,,,,,,,,,,
946,kein_Terminated,Zeit abgelaufen,0.72,52,8724,300.5,8,3,20250416-020319,,,,,,,,,,,,,,,,,,
947,kein_Terminated,Zeit abgelaufen,0.69,38,8476,300.5,8,9,20250416-020335,,,,,,,,,,,,,,,,,,
948,kein_Terminated,Zeit abgelaufen,0.75,39,9194,300.5,8,9,20250416-020352,,,,,,,,,,,,,,,,,,
949,kein_Terminated,Zeit abgelaufen,0.69,51,8314,300.5,8,3,20250416-020409,,,,,,,,,,,,,,,,,,
950,kein_Terminated,Zeit abgelaufen,0.76,58,9120,300.5,8,3,20250416-020425,,,,,,,,,,,,,,,,,,
951,kein_Terminated,Zeit abgelaufen,0.67,57,7998,300.5,8,8,20250416-020442,,,,,,,,,,,,,,,,,,
952,kein_Terminated,Zeit abgelaufen,0.65,11,8178,300.5,0,5,20250416-020458,,,,,,,,,,,,,,,,,,
953,kein_Terminated,Zeit abgelaufen,0.56,44,6760,300.5,0,5,20250416-020515,,,,,,,,,,,,,,,,,,
954,kein_Terminated,Zeit abgelaufen,0.69,49,8322,300.5,0,6,20250416-020531,,,,,,,,,,,,,,,,,,
955,kein_Terminated,Zeit abgelaufen,0.64,37,7878,300.5,0,6,20250416-020548,,,,,,,,,,,,,,,,,,
956,kein_Terminated,Zeit abgelaufen,0.64,17,8050,300.5,0,6,20250416-020604,,,,,,,,,,,,,,,,,,
957,kein_Terminated,Zeit abgelaufen,0.7,23,8782,300.5,0,6,20250416-020621,,,,,,,,,,,,,,,,,,
958,kein_Terminated,Zeit abgelaufen,0.63,21,7866,300.5,0,1,20250416-020637,,,,,,,,,,,,,,,,,,
959,kein_Terminated,Zeit abgelaufen,0.68,33,8394,300.5,0,2,20250416-020654,,,,,,,,,,,,,,,,,,
960,kein_Terminated,Zeit abgelaufen,0.49,37,5910,300.5,0,2,20250416-020710,,,,,,,,,,,,,,,,,,
961,kein_Terminated,Zeit abgelaufen,0.72,63,8674,300.5,0,5,20250416-020726,,,,,,,,,,,,,,,,,,
962,kein_Terminated,Zeit abgelaufen,0.65,19,8126,300.5,0,5,20250416-020743,,,,,,,,,,,,,,,,,,
963,kein_Terminated,Zeit abgelaufen,0.7,45,8534,300.5,0,5,20250416-020759,,,,,,,,,,,,,,,,,,
964,kein_Terminated,Zeit abgelaufen,0.67,21,8418,300.5,0,5,20250416-020815,,,,,,,,,,,,,,,,,,
965,kein_Terminated,Zeit abgelaufen,0.64,29,7926,300.5,0,1,20250416-020831,,,,,,,,,,,,,,,,,,
966,kein_Terminated,Zeit abgelaufen,0.64,35,7162,300.5,26,5,20250416-020852,,,,,,,,,,,,,,,,,,
967,kein_Terminated,Zeit abgelaufen,0.66,34,7448,300.5,26,5,20250416-020912,,,,,,,,,,,,,,,,,,
968,kein_Terminated,Zeit abgelaufen,0.73,36,8168,300.5,26,6,20250416-020933,,,,,,,,,,,,,,,,,,
969,kein_Terminated,Zeit abgelaufen,0.7,54,7644,300.5,26,6,20250416-020954,,,,,,,,,,,,,,,,,,
