DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_List_MazesToUse,DEFAULT_List_Start_PositionsToUse,DEFAULT_MaxRoundsOnOneMaze,DEFAULT_MaxRoundsSameStartingPositions,DEFAULT_USE_SAVED_HYPERPARAMETER_SET,HyperparameterSetIDtoLoad
2,300,4,0,50000,1,1080000,99999,100,100,50,2,300,2,0.5,5,-10,0.1,0,8,3,FALSE,"(0, 5, 8, 15, 26)","(0, 1, 2, 3, 4, 5, 6, 7, 8, 9)",6,2,False,SET_20250410-011939
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runde,Terminated,Truncated,Map-Abgedeckt,"Wand berührungen(Raycast<=0,1)",Summe Reward,Flugzeit der Runde,Maze_number,Start-Position,Uhrzeit Welt,,,,,,,,,,,,,,,,,,
109,kein_Terminated,Zeit abgelaufen,0.51,125,4722,300.5,26,6,20250415-215238,,,,,,,,,,,,,,,,,,
110,kein_Terminated,Zeit abgelaufen,0.32,90,2752,300.5,26,6,20250415-215300,,,,,,,,,,,,,,,,,,
111,kein_Terminated,Zeit abgelaufen,0.34,86,3100,300.5,26,0,20250415-215321,,,,,,,,,,,,,,,,,,
112,kein_Terminated,Zeit abgelaufen,0.4,129,3718,300.5,8,8,20250415-215338,,,,,,,,,,,,,,,,,,
113,kein_Terminated,Zeit abgelaufen,0.49,70,5564,300.5,8,8,20250415-215355,,,,,,,,,,,,,,,,,,
114,kein_Terminated,Zeit abgelaufen,0.47,207,3930,300.5,8,4,20250415-215412,,,,,,,,,,,,,,,,,,
115,kein_Terminated,Zeit abgelaufen,0.4,107,3986,300.5,8,4,20250415-215430,,,,,,,,,,,,,,,,,,
116,kein_Terminated,Zeit abgelaufen,0.5,160,4768,300.5,8,5,20250415-215447,,,,,,,,,,,,,,,,,,
117,kein_Terminated,Zeit abgelaufen,0.5,161,4746,300.5,8,5,20250415-215504,,,,,,,,,,,,,,,,,,
118,kein_Terminated,Zeit abgelaufen,0.19,316,-836,300.5,8,2,20250415-215520,,,,,,,,,,,,,,,,,,
119,kein_Terminated,Zeit abgelaufen,0.53,104,5744,300.5,5,3,20250415-215537,,,,,,,,,,,,,,,,,,
120,kein_Terminated,Zeit abgelaufen,0.51,101,5610,300.5,5,3,20250415-215553,,,,,,,,,,,,,,,,,,
121,kein_Terminated,Zeit abgelaufen,0.52,242,4292,300.5,5,7,20250415-215609,,,,,,,,,,,,,,,,,,
