DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_REWARD_FOR_NEW_FIELD,DEFAULT_Punishment_for_Step,DEFAULT_EVAL_FREQ,DEFAULT_EVAL_EPISODES,DEFAULT_TRAIN_TIMESTEPS,DEFAULT_TARGET_REWARD,DEFAULT_NUMBER_LAST_ACTIONS,DEFAULT_PYB_FREQ,DEFAULT_CTRL_FREQ,DEFAULT_REWARD_AND_ACTION_CHANGE_FREQ,DEFAULT_EPISODE_LEN_SEC,DEFAULT_Multiplier_Collision_Penalty,DEFAULT_VelocityScale,DEFAULT_explore_Matrix_Size,DEFAULT_collision_penalty_terminated,DEFAULT_Terminated_Wall_Distance,DEFAULT_no_collision_reward,DEFAULT_Punishment_for_Walls,DEFAULT_Influence_of_Walls,DEFAULT_USE_PRETRAINED_MODEL,DEFAULT_PRETRAINED_MODEL_PATH,DEFAULT_NUMBER_LAST_ACTIONS
2,300,4,-0.5,50000.0,1,172800,99999999999999,20,100,50,2,300,2,0.5,5,-100,0.15,1,False,/home/florian/Documents/gym-pybullet-drones/gym_pybullet_drones/Auswertung_der_Modelle_Archieve/M6_R6_O5_A3_TR1_T1_20250407-013856/save-04.07.2025_01.38.56/best_model.zip,20,8,4

Runde,Terminated,Truncated,Map-Abgedeckt,Wand berührungen,Summe Reward,Flugzeit der Runde,Maze_number,Uhrzeit Welt
186,kein_Terminated,Zeit abgelaufen,0.63,114,5502.0,300.5,21,20250409-152605
187,kein_Terminated,Zeit abgelaufen,0.55,181,629.0,300.5,21,20250409-152624
188,kein_Terminated,Zeit abgelaufen,0.72,76,6682.0,300.5,21,20250409-152642
189,kein_Terminated,Zeit abgelaufen,0.65,64,7471.0,300.5,21,20250409-152701
190,kein_Terminated,Zeit abgelaufen,0.65,48,8162.0,300.5,21,20250409-152722
191,kein_Terminated,Zeit abgelaufen,0.52,83,4874.0,300.5,21,20250409-152740
192,kein_Terminated,Zeit abgelaufen,0.6,81,6322.0,300.5,21,20250409-152802
193,kein_Terminated,Zeit abgelaufen,0.55,40,6596.0,300.5,21,20250409-152826
194,kein_Terminated,Zeit abgelaufen,0.65,181,-4216.0,300.5,21,20250409-152846
195,kein_Terminated,Zeit abgelaufen,0.63,79,5946.0,300.5,21,20250409-152911
196,kein_Terminated,Zeit abgelaufen,0.65,185,-5218.0,300.5,21,20250409-152932
197,kein_Terminated,Zeit abgelaufen,0.66,89,7151.0,300.5,21,20250409-152950
198,kein_Terminated,Zeit abgelaufen,0.54,96,4238.0,300.5,21,20250409-153016
199,kein_Terminated,Zeit abgelaufen,0.52,53,5953.0,300.5,21,20250409-153041
200,kein_Terminated,Zeit abgelaufen,0.59,69,6202.0,300.5,21,20250409-153100
201,kein_Terminated,Zeit abgelaufen,0.69,81,8169.0,300.5,21,20250409-153119
202,kein_Terminated,Zeit abgelaufen,0.64,101,6842.0,300.5,21,20250409-153138
203,kein_Terminated,Zeit abgelaufen,0.67,93,8591.0,300.5,21,20250409-153157
204,kein_Terminated,Zeit abgelaufen,0.57,97,5514.0,300.5,21,20250409-153215
205,kein_Terminated,Zeit abgelaufen,0.57,125,3406.0,300.5,21,20250409-153234
206,kein_Terminated,Zeit abgelaufen,0.55,134,4556.0,300.5,21,20250409-153253
207,kein_Terminated,Zeit abgelaufen,0.69,75,6767.0,300.5,21,20250409-153312
208,kein_Terminated,Zeit abgelaufen,0.6,69,6092.0,300.5,21,20250409-153331
209,kein_Terminated,Zeit abgelaufen,0.61,123,5550.0,300.5,21,20250409-153350
210,kein_Terminated,Zeit abgelaufen,0.52,49,6870.0,300.5,21,20250409-153409
211,kein_Terminated,Zeit abgelaufen,0.6,117,6064.0,300.5,21,20250409-153428
212,kein_Terminated,Zeit abgelaufen,0.53,38,6340.0,300.5,21,20250409-153446
213,kein_Terminated,Zeit abgelaufen,0.48,105,5664.0,300.5,21,20250409-153506
214,kein_Terminated,Zeit abgelaufen,0.56,77,5710.0,300.5,21,20250409-153526
215,kein_Terminated,Zeit abgelaufen,0.55,74,5662.0,300.5,21,20250409-153545
216,kein_Terminated,Zeit abgelaufen,0.56,60,5908.0,300.5,21,20250409-153603
217,kein_Terminated,Zeit abgelaufen,0.57,66,6039.0,300.5,21,20250409-153620
218,kein_Terminated,Zeit abgelaufen,0.52,90,6074.0,300.5,21,20250409-153639
219,kein_Terminated,Zeit abgelaufen,0.53,70,5422.0,300.5,21,20250409-153659
220,kein_Terminated,Zeit abgelaufen,0.62,44,6405.0,300.5,21,20250409-153717
221,kein_Terminated,Zeit abgelaufen,0.66,92,7357.0,300.5,21,20250409-153738
222,kein_Terminated,Zeit abgelaufen,0.57,37,7320.0,300.5,21,20250409-153756
223,kein_Terminated,Zeit abgelaufen,0.67,77,7275.0,300.5,21,20250409-153815
224,kein_Terminated,Zeit abgelaufen,0.62,51,7411.0,300.5,21,20250409-153833
225,kein_Terminated,Zeit abgelaufen,0.61,148,5654.0,300.5,21,20250409-153851
226,kein_Terminated,Zeit abgelaufen,0.65,101,5346.0,300.5,21,20250409-153909
227,kein_Terminated,Zeit abgelaufen,0.54,84,5963.0,300.5,21,20250409-153930
228,kein_Terminated,Zeit abgelaufen,0.43,69,1893.0,300.5,21,20250409-153954
